url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
36,13,15,0,2,1,0,4,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.072431251322119,0,0
826,20,31,766,5,0,1,5,0,1,5,4,125,459,0.5556900726392252,1,0,1,3,0,0,3.9902941943220647,0,0
71,19,44,0,3,4,0,5,0,0,0,0,0,0,0.0,1,0,2,3,0,0,4.323482993832174,0,0
139,19,84,27,4,9,0,5,0,1,1,0,0,0,0.0,1,0,1,3,0,0,4.360010181787937,0,0
69,29,28,0,4,0,0,5,0,0,0,0,0,13,0.18840579710144928,0,0,2,3,0,0,4.60815072583135,0,0
71,39,24,0,3,4,0,3,0,0,0,0,0,0,0.0,1,0,2,1,1,0,4.27777718400349,0,0
38,29,1,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,0,1,0,4.188331131693838,0,1
49,13,28,0,2,2,0,4,0,0,0,0,0,2,0.04081632653061224,1,0,0,2,0,0,4.097593590489955,1,0
44,26,11,0,4,0,0,3,0,0,0,0,0,0,0.0,0,0,2,1,0,0,3.8644132216512963,0,0
32,23,1,0,2,0,0,3,0,0,0,0,0,2,0.0625,1,0,1,0,0,0,4.015319531114783,0,1
175,15,108,43,2,2,4,7,0,1,3,2,0,12,0.06857142857142857,1,0,1,5,0,0,5.495501452494954,0,1
115,5,25,76,2,4,0,5,0,1,7,6,0,29,0.25217391304347825,1,0,0,3,0,0,4.844027038885542,0,0
40,18,14,0,2,0,0,5,0,0,0,0,0,5,0.125,1,0,1,2,0,0,4.1725738836114346,0,0
49,11,30,0,3,1,0,5,0,0,0,0,0,0,0.0,1,0,1,3,0,0,4.22411871171893,0,0
84,11,65,0,3,4,0,9,0,0,0,0,0,8,0.09523809523809523,1,0,1,7,0,0,4.508363858185042,0,0
40,15,17,0,2,0,0,3,0,0,0,0,0,10,0.25,1,0,1,1,0,0,4.477567157116929,0,0
44,35,1,0,3,0,0,3,0,0,0,0,0,6,0.13636363636363635,1,0,2,0,0,0,4.436260027531526,0,1
79,12,35,23,2,3,0,5,0,1,1,0,1,4,0.05063291139240506,1,0,1,3,0,0,4.559924819153585,0,0
85,15,62,0,2,10,0,4,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.295991861151994,0,0
38,30,1,0,2,2,0,3,0,0,0,0,0,2,0.05263157894736842,0,0,1,0,1,0,4.346225868535942,0,0
121,76,37,0,4,6,0,3,0,0,0,0,0,19,0.15702479338842976,1,0,2,1,1,0,4.975987775081952,0,1
63,17,34,0,3,3,0,3,0,0,0,0,0,3,0.047619047619047616,1,0,1,1,0,0,4.447063606136297,0,0
27,5,14,0,2,0,0,3,0,0,0,0,0,1,0.037037037037037035,1,0,0,1,0,0,3.8841550945958048,0,0
94,11,1,73,2,0,1,3,0,1,1,0,0,13,0.13829787234042554,1,0,1,0,0,0,5.379019772273189,0,0
48,18,1,20,2,0,1,3,0,1,1,0,0,6,0.125,1,0,1,0,0,0,4.504247855285175,0,0
61,16,37,0,2,1,0,7,0,0,0,0,0,0,0.0,1,0,1,4,0,0,4.2028670028701365,0,0
